Date,instrument_symbol,Open,High,Low,Close,Adj Close,Volume
9/1/2020,VNQ,81.47000122,84.48999786,75.72000122,78.95999908,74.94890594,93899900
10/1/2020,VNQ,79.27999878,83.87999725,75.45999908,76.58999634,73.26271057,90996800
11/1/2020,VNQ,77.40000153,88.29000092,76.87999725,84,80.35080719,92410400
12/1/2020,VNQ,84.95999908,86.76999664,83.23000336,84.93000031,81.24040222,83498200
1/1/2021,VNQ,85.19999695,87.30999756,81.23000336,84.95999908,82.57679749,111243400
2/1/2021,VNQ,85.48000336,91.44999695,84.41999817,87.87000275,85.40517426,75646800
3/1/2021,VNQ,88.87000275,93.19999695,84.44999695,91.86000061,89.2832489,103013500
4/1/2021,VNQ,92.33999634,99.30000305,92,99.08000183,96.86377716,90267000
5/1/2021,VNQ,99.55999756,100.1699982,94.63999939,99.87999725,97.64587402,86332500
6/1/2021,VNQ,100.3700027,105.7699966,100.0100021,101.7900009,99.51315308,88689200
7/1/2021,VNQ,102.0299988,107.7200012,101.5100021,106.2900009,104.6519775,96340600
8/1/2021,VNQ,106.8700027,108.7099991,104.8499985,108.5800018,106.9066772,74709300
9/1/2021,VNQ,108.8399963,111.0599976,101.7799988,101.7799988,100.2114716,109439100
10/1/2021,VNQ,102.4400024,110.3000031,101,109.0400009,108.0252457,87536500
11/1/2021,VNQ,109.3000031,111.2900009,106.6500015,106.7399979,105.7466507,75127000
12/1/2021,VNQ,107.7399979,116.7099991,104.9499969,116.0100021,114.9303818,129687300
1/1/2022,VNQ,116.2099991,116.2399979,100.6200027,106.2399979,106.2399979,144909900
2/1/2022,VNQ,106.1500015,107.5199966,97.70999908,102.5400009,102.5400009,115344400
3/1/2022,VNQ,102.8000031,106.9700012,101.4499969,106.0199966,106.0199966,92924200
3/22/2022,VNQ,106.3899994,106.6699982,105.7900009,106.0199966,106.0199966,4429142
